Descriptor_Set,DR_Method,Clustering,ARI_vs_Baseline,N_Clusters,Silhouette,Davies_Bouldin
MACCS_Keys,KMeans,KMeans_4,0.12665120988964926,4,0.3885142207145691,0.8488656527368902
MACCS_Keys,KMeans,KMeans_6,0.16590380044852762,6,0.48266205191612244,0.6567916309000861
MACCS_Keys,Hierarchical,Hierarchical_4,0.0591638028091501,4,0.3962361514568329,0.8534627159700994
MACCS_Keys,t-SNE,HDBSCAN,0.09845819846921368,22,0.5592532157897949,0.5036744890138972
MACCS_Keys,UMAP,DBSCAN,0.12858449111275144,22,0.8964409232139587,0.1369460553098788
MACCS_Keys,KMeans,KMeans_4,0.08758262310860472,4,0.45056018233299255,1.0047988050471206
MACCS_Keys,KMeans,KMeans_6,0.12941932033021497,6,0.5460240840911865,0.7637100346364029
MACCS_Keys,Hierarchical,Hierarchical_4,0.07028877594667275,4,0.5186559557914734,0.7501719271360155
MACCS_Keys,UMAP,HDBSCAN,0.096308969377659,26,0.9012420773506165,0.14114410603490884
Morgan_FP,PaCMAP,DBSCAN,0.06628627285039176,4,0.7133767604827881,0.2743189884402608
Morgan_FP,KMeans,KMeans_4,0.0616289992194677,4,0.6409429311752319,0.44531518238419554
Morgan_FP,KMeans,KMeans_6,0.1365564694277262,6,0.5844839811325073,0.4830947014048057
Morgan_FP,Hierarchical,Hierarchical_4,0.04751718732104274,4,0.6397566199302673,0.43948682718155185
Morgan_FP,PaCMAP,HDBSCAN,0.05064866265733114,26,0.7481223940849304,0.3252797599309973
Morgan_FP,PCA,DBSCAN,-0.0191034227616821,1,,
Morgan_FP,KMeans,KMeans_4,0.12879496091191853,4,0.5996523208357991,0.4353032413150207
Morgan_FP,KMeans,KMeans_6,0.0862037503472882,6,0.5609609117581522,0.5101719991893602
Morgan_FP,Hierarchical,Hierarchical_4,0.1368883552476772,4,0.5979604970689635,0.43615515346436995
Morgan_FP,PCA,HDBSCAN,0.02901767031741697,24,0.769931562174208,0.3620377795246172
