Dim1,Dim2,ID,Label,Target
2.1170883,4.242567,152,4,-0.638272164
3.2375557,4.0021834,153,4,-1.578396073
4.1894674,-0.72406274,154,6,-0.962573502
2.1244016,-5.929703,155,6,2.397940009
0.83884066,5.5924773,156,4,1.84509804
3.5234606,11.571874,157,-1,-2.22184875
3.8953626,-1.2698262,158,6,0.0
7.168323,2.2804222,159,3,0.667452953
9.3127985,5.0972157,160,3,-1.26760624
1.1595161,5.588892,161,4,-0.638272164
-3.2675736,5.8953876,162,-1,1.782114148
11.220719,4.7592273,163,3,0.419955748
7.597319,2.7315755,164,3,-1.549750892
7.0174417,2.1704502,165,3,-2.408935393
-0.40647185,8.669334,166,7,-0.522878745
-23.434492,-4.9398036,167,5,1.462397998
-11.301285,-2.4749093,168,0,0.352182518
-10.761804,-2.414725,169,0,2.230448921
10.478168,-17.19571,170,1,-0.519993057
10.3753,-17.255898,171,1,-0.552841969
-1.0275459,9.880078,172,7,1.079181246
4.2522044,0.99837023,173,6,-0.610833916
3.5739834,-2.719078,174,6,-0.04793441
10.984789,5.5335574,175,3,0.439332694
-12.219367,-5.3915806,176,0,0.491361694
8.569706,-18.338198,177,1,-1.30980392
3.0946715,3.6852815,178,4,-2.302770657
-8.68847,-20.30564,179,2,1.230448921
-11.858692,-5.347615,180,0,0.079181246
3.1878188,2.3659947,181,4,-0.410050399
3.6769285,-2.2414958,182,6,0.450249108
9.837711,-17.574541,183,1,-0.679853714
-0.5244305,8.67961,184,7,0.602059991
-3.3588653,5.874954,185,-1,0.986771734
3.4291663,-3.6567383,186,6,0.959041392
7.8845196,2.7903192,187,3,-1.173925197
3.2835891,11.248099,188,-1,-0.698970004
6.92336,2.2675622,189,3,-0.286509457
6.6385226,2.1075153,190,3,-2.508638306
-11.851071,-5.293571,191,0,0.267171728
-0.22564685,5.133439,192,4,1.0
4.021145,-0.7422568,193,6,0.469822016
11.079004,4.4209375,194,3,-1.525783736
-12.35725,-2.2015219,195,0,0.968482949
3.1507971,3.825718,196,4,-2.30980392
9.256976,3.7687035,197,3,-1.37675071
-0.52643764,8.616397,198,7,1.39880773
-23.434265,-4.9398217,199,5,-0.22184875
-15.377852,14.503461,200,8,-2.200659451
-0.059665374,6.832232,201,4,0.82314806
5.262714,3.4642336,202,4,-1.446116973
-12.2755165,-2.1798317,203,0,0.322219295
2.0057774,-4.342299,204,6,-1.886056648
-1.0568767,9.961291,205,7,1.176091259
-23.433912,-4.9394336,206,5,-0.657577319
-3.2590477,5.8950944,207,-1,0.963787827
9.995897,5.969185,208,3,-1.443697499
-12.808957,-5.0327897,209,0,1.832508913
8.898793,-18.140175,210,1,-0.886056648
-2.9439063,5.8917603,211,-1,0.311753861
4.04765,-0.67927897,212,6,0.112269768
4.223287,-0.6772633,213,6,-1.569441231
3.1769083,2.2371244,214,4,-0.530177984
2.4659097,-5.4587803,215,6,2.0
11.024895,4.8621197,216,3,-0.337242168
9.623348,5.2918167,217,3,-2.015472686
2.1569803,-5.866483,218,6,2.322219295
-12.68123,-4.820491,219,0,2.146128036
4.717413,3.1606998,220,4,-0.349692477
1.9891342,-4.87848,221,6,-0.749579998
-12.876457,-5.127752,222,0,1.832508913
-12.319265,-2.1573577,223,0,0.913813852
-23.43347,-4.939606,224,5,0.176091259
11.17087,4.212138,225,3,-0.250263684
2.0566852,-5.842868,226,6,1.361727836
